noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-07,11,p9,Inhibition / adsorption,69344.55960174583,98084.0,-0.2930084458041492,0.16862565146446684,1011.9646193981171
1e-05,12,p1,A1,89.39787010573662,15672.02,-0.9942957021426889,0.2196512003366724,903.4781897068024
1e-05,12,p2,E1,441.97665043154336,3453.38,-0.8720162129764047,0.2196512003366724,903.4781897068024
1e-05,12,p3,"K_ads,1",6.245812302556006,30.836,-0.79745063229485,0.2196512003366724,903.4781897068024
1e-05,12,p4,"K_ads,2",97.62727650154504,558.532,-0.8252073712848234,0.2196512003366724,903.4781897068024
1e-05,12,p5,A2,0.1508820736144823,0.7439,-0.7971742524338187,0.2196512003366724,903.4781897068024
1e-05,12,p6,E2,72584.93986392274,40000.0,0.8146234965980685,0.2196512003366724,903.4781897068024
1e-05,12,p7,"K_ads,3",51026.74600370253,17197.0,1.9671888122173944,0.2196512003366724,903.4781897068024
1e-05,12,p8,"K_ads,4",107362.10009254781,124119.0,-0.13500672666918187,0.2196512003366724,903.4781897068024
1e-05,12,p9,Inhibition / adsorption,77868.82253761197,98084.0,-0.20610066333334728,0.2196512003366724,903.4781897068024
1e-06,12,p1,A1,0.8692796601239045,15672.02,-0.9999445330174334,0.565067639907831,895.9865255355835
1e-06,12,p2,E1,0.32784388237510953,3453.38,-0.9999050657957205,0.565067639907831,895.9865255355835
1e-06,12,p3,"K_ads,1",4.268280231122967,30.836,-0.8615812611518042,0.565067639907831,895.9865255355835
1e-06,12,p4,"K_ads,2",0.16773353884166378,558.532,-0.9996996885785566,0.565067639907831,895.9865255355835
1e-06,12,p5,A2,0.5411838328035773,0.7439,-0.272504593623367,0.565067639907831,895.9865255355835
1e-06,12,p6,E2,13010.951066142841,40000.0,-0.674726223346429,0.565067639907831,895.9865255355835
1e-06,12,p7,"K_ads,3",15539.00064881402,17197.0,-0.09641212718415883,0.565067639907831,895.9865255355835
1e-06,12,p8,"K_ads,4",13270.812450026739,124119.0,-0.8930799277304301,0.565067639907831,895.9865255355835
1e-06,12,p9,Inhibition / adsorption,14379.251825903342,98084.0,-0.8533985988958104,0.565067639907831,895.9865255355835
1e-07,12,p1,A1,0.903800897012617,15672.02,-0.9999423302869054,0.5648208371307984,1052.740112066269
1e-07,12,p2,E1,0.3278619098906101,3453.38,-0.9999050605754679,0.5648208371307984,1052.740112066269
1e-07,12,p3,"K_ads,1",4.210793424207238,30.836,-0.8634455368981957,0.5648208371307984,1052.740112066269
1e-07,12,p4,"K_ads,2",0.16471639874105112,558.532,-0.9997050904894599,0.5648208371307984,1052.740112066269
1e-07,12,p5,A2,0.5362388854738762,0.7439,-0.2791519216643686,0.5648208371307984,1052.740112066269
1e-07,12,p6,E2,13008.354830825492,40000.0,-0.6747911292293628,0.5648208371307984,1052.740112066269
1e-07,12,p7,"K_ads,3",15568.521159649672,17197.0,-0.0946955190062411,0.5648208371307984,1052.740112066269
1e-07,12,p8,"K_ads,4",13271.962513540595,124119.0,-0.8930706619168653,0.5648208371307984,1052.740112066269
1e-07,12,p9,Inhibition / adsorption,14388.170843622684,98084.0,-0.8533076664530129,0.5648208371307984,1052.740112066269
1e-05,13,p1,A1,0.11771012406992817,15672.02,-0.9999924891542973,0.5828464148185614,1124.1655583381653
1e-05,13,p2,E1,0.32933886351783775,3453.38,-0.9999046328919731,0.5828464148185614,1124.1655583381653
1e-05,13,p3,"K_ads,1",4.695066788083495,30.836,-0.8477407319988489,0.5828464148185614,1124.1655583381653
1e-05,13,p4,"K_ads,2",0.4600184051225196,558.532,-0.9991763794999705,0.5828464148185614,1124.1655583381653
1e-05,13,p5,A2,0.8613424330376358,0.7439,0.15787395219469794,0.5828464148185614,1124.1655583381653
1e-05,13,p6,E2,13160.566640492041,40000.0,-0.670985833987699,0.5828464148185614,1124.1655583381653
1e-05,13,p7,"K_ads,3",13600.586309273822,17197.0,-0.20913029544258754,0.5828464148185614,1124.1655583381653
1e-05,13,p8,"K_ads,4",13231.007850126585,124119.0,-0.8934006248025961,0.5828464148185614,1124.1655583381653
1e-05,13,p9,Inhibition / adsorption,13431.060147162552,98084.0,-0.8630657380697917,0.5828464148185614,1124.1655583381653
1e-06,13,p1,A1,0.11576308204302817,15672.02,-0.9999926133911236,0.5829595155741097,1123.6729335784912
1e-06,13,p2,E1,0.32933308655988563,3453.38,-0.9999046345648148,0.5829595155741097,1123.6729335784912
