noise,experiment,methanol,x1,x2,x3,x4
1e-05,63,,0.329241207,0.100554041,0.0016057771,0.00135536086
1e-05,64,,0.174818497,0.129907575,0.00322414914,0.00624546593
1e-05,65,,0.135923479,0.136505625,0.00991640929,0.00391123287
1e-05,66,,0.10027932,0.186919392,0.00706079847,0.000960310519
1e-05,67,,0.283745528,0.185925515,0.00306768803,0.00558279766
1e-05,68,,0.210215944,0.129424334,7.88179305e-05,0.00758945787
1e-05,69,,0.213356037,0.115553449,0.00513110219,0.00387210195
1e-05,70,,0.318133067,0.128354203,0.00380605077,0.00131102936
1e-05,71,,0.141038334,0.115711457,0.00912601999,0.00742060189
1e-05,72,,0.265890078,0.149956887,0.00278634401,0.00254408829
