noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-07,36,p5,A2,0.53895825,0.7439,-0.2754963704799033,0.5119035757615041,
1e-07,36,p6,E2,29710.2647,40000.0,-0.2572433825,0.5119035757615041,
1e-07,36,p7,"K_ads,3",16050.6904,17197.0,-0.06665753329069027,0.5119035757615041,
1e-07,36,p8,"K_ads,4",14318.5688,124119.0,-0.8846383809086442,0.5119035757615041,
1e-07,36,p9,Inhibition / adsorption,39725.466,98084.0,-0.5949852575343583,0.5119035757615041,
1e-07,38,p1,A1,1896.76673,15672.02,-0.8789711390107976,0.3332116208981011,
1e-07,38,p2,E1,14.2723457,3453.38,-0.9958671372105009,0.3332116208981011,
1e-07,38,p3,"K_ads,1",0.864700496,30.836,-0.9719580848359061,0.3332116208981011,
1e-07,38,p4,"K_ads,2",12.9859652,558.532,-0.9767498277627781,0.3332116208981011,
1e-07,38,p5,A2,178.367389,0.7439,238.77334184702246,0.3332116208981011,
1e-07,38,p6,E2,36049.4302,40000.0,-0.09876424499999993,0.3332116208981011,
1e-07,38,p7,"K_ads,3",24646.0685,17197.0,0.43316092923184285,0.3332116208981011,
1e-07,38,p8,"K_ads,4",31318.121,124119.0,-0.7476766570790935,0.3332116208981011,
1e-07,38,p9,Inhibition / adsorption,31847.5934,98084.0,-0.6753028689694548,0.3332116208981011,
1e-07,40,p1,A1,1567.62043,15672.02,-0.8999733008252925,0.3181803300769804,
1e-07,40,p2,E1,20.3707451,3453.38,-0.9941012153021098,0.3181803300769804,
1e-07,40,p3,"K_ads,1",1.43735275,30.836,-0.9533871854326113,0.3181803300769804,
1e-07,40,p4,"K_ads,2",18.278246,558.532,-0.9672744874062722,0.3181803300769804,
1e-07,40,p5,A2,210.185707,0.7439,281.54564726441725,0.3181803300769804,
1e-07,40,p6,E2,38658.5772,40000.0,-0.03353557000000001,0.3181803300769804,
1e-07,40,p7,"K_ads,3",27735.0575,17197.0,0.6127846426702331,0.3181803300769804,
1e-07,40,p8,"K_ads,4",34012.5493,124119.0,-0.7259682296828044,0.3181803300769804,
1e-07,40,p9,Inhibition / adsorption,34680.76,98084.0,-0.6464177643652379,0.3181803300769804,
1e-07,42,p1,A1,0.117076415,15672.02,-0.9999925295899955,0.4996775973891166,
1e-07,42,p2,E1,5.2033167,3453.38,-0.9984932684210831,0.4996775973891166,
1e-07,42,p3,"K_ads,1",0.108997544,30.836,-0.9964652502270074,0.4996775973891166,
1e-07,42,p4,"K_ads,2",0.104431012,558.532,-0.9998130259107805,0.4996775973891166,
1e-07,42,p5,A2,0.542160608,0.7439,-0.2711915472509746,0.4996775973891166,
1e-07,42,p6,E2,28654.4263,40000.0,-0.2836393425,0.4996775973891166,
1e-07,42,p7,"K_ads,3",14752.8074,17197.0,-0.14212901087398966,0.4996775973891166,
1e-07,42,p8,"K_ads,4",17674.918,124119.0,-0.8575969996535583,0.4996775973891166,
1e-07,42,p9,Inhibition / adsorption,40197.8232,98084.0,-0.5901694139716978,0.4996775973891166,
1e-07,44,p1,A1,938.946953,15672.02,-0.9400876879304646,0.33833194500403185,
1e-07,44,p2,E1,12.6229358,3453.38,-0.996344759105572,0.33833194500403185,
1e-07,44,p3,"K_ads,1",1.23168144,30.836,-0.9600570294461019,0.33833194500403185,
1e-07,44,p4,"K_ads,2",9.79482998,558.532,-0.9824632608695651,0.33833194500403185,
1e-07,44,p5,A2,132.312935,0.7439,176.86387283236996,0.33833194500403185,
1e-07,44,p6,E2,34983.2492,40000.0,-0.12541877000000004,0.33833194500403185,
1e-07,44,p7,"K_ads,3",24034.7224,17197.0,0.3976113508170029,0.33833194500403185,
1e-07,44,p8,"K_ads,4",30266.8654,124119.0,-0.7561463966032598,0.33833194500403185,
1e-07,44,p9,Inhibition / adsorption,30969.9697,98084.0,-0.6842505434117695,0.33833194500403185,
1e-07,46,p1,A1,713.863695,15672.02,-0.9544497968353792,0.33370763750653804,
1e-07,46,p2,E1,13.3283813,3453.38,-0.9961404822811275,0.33370763750653804,
1e-07,46,p3,"K_ads,1",2.34093156,30.836,-0.9240844610195874,0.33370763750653804,
1e-07,46,p4,"K_ads,2",9.71631741,558.532,-0.9826038303803543,0.33370763750653804,
1e-07,46,p5,A2,113.928108,0.7439,152.14976206479366,0.33370763750653804,
1e-07,46,p6,E2,35165.0151,40000.0,-0.12087462250000008,0.33370763750653804,
1e-07,46,p7,"K_ads,3",24969.6179,17197.0,0.45197522242251564,0.33370763750653804,
1e-07,46,p8,"K_ads,4",30562.1616,124119.0,-0.7537672588403066,0.33370763750653804,
1e-07,46,p9,Inhibition / adsorption,31415.7941,98084.0,-0.6797052108396885,0.33370763750653804,
1e-07,48,p1,A1,755.004586,15672.02,-0.9518246795244009,0.33554829406069975,
1e-07,48,p2,E1,13.4368115,3453.38,-0.9961090839988648,0.33554829406069975,
1e-07,48,p3,"K_ads,1",1.53163374,30.836,-0.9503296880269815,0.33554829406069975,
1e-07,48,p4,"K_ads,2",9.98226604,558.532,-0.982127673902301,0.33554829406069975,
1e-07,48,p5,A2,124.027158,0.7439,165.72557870681544,0.33554829406069975,
1e-07,48,p6,E2,35306.4311,40000.0,-0.11733922249999997,0.33554829406069975,
1e-07,48,p7,"K_ads,3",24782.5566,17197.0,0.4410976681979415,0.33554829406069975,
1e-07,48,p8,"K_ads,4",30653.6361,124119.0,-0.7530302685326179,0.33554829406069975,
1e-07,48,p9,Inhibition / adsorption,31433.6173,98084.0,-0.6795234972064761,0.33554829406069975,
1e-07,50,p1,A1,539.880802,15672.02,-0.9655512944725696,0.33760777971983397,
1e-07,50,p2,E1,12.4904686,3453.38,-0.9963831178150102,0.33760777971983397,
1e-07,50,p3,"K_ads,1",2.20251742,30.836,-0.928573180049293,0.33760777971983397,
1e-07,50,p4,"K_ads,2",8.86076294,558.532,-0.9841356217011739,0.33760777971983397,
1e-07,50,p5,A2,98.1816893,0.7439,130.98237572254337,0.33760777971983397,
1e-07,50,p6,E2,34516.5825,40000.0,-0.13708543750000007,0.33760777971983397,
1e-07,50,p7,"K_ads,3",24765.9799,17197.0,0.44013373844275155,0.33760777971983397,
1e-07,50,p8,"K_ads,4",30082.5026,124119.0,-0.7576317679001603,0.33760777971983397,
1e-07,50,p9,Inhibition / adsorption,30938.8173,98084.0,-0.6845681528077975,0.33760777971983397,
1e-07,52,p1,A1,0.116500225,15672.02,-0.9999925663555177,0.5062871354971978,
1e-07,52,p2,E1,3.97871579,3453.38,-0.998847877792192,0.5062871354971978,
1e-07,52,p3,"K_ads,1",0.109389543,30.836,-0.9964525378453756,0.5062871354971978,
1e-07,52,p4,"K_ads,2",0.135710744,558.532,-0.9997570224373895,0.5062871354971978,
1e-07,52,p5,A2,0.541711266,0.7439,-0.27179558273961557,0.5062871354971978,
