noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-05,18,p6,E2,134160.08701538504,40000.0,2.354002175384626,0.3228537267103209,470.8009374141693
1e-05,18,p7,"K_ads,3",99317.79430654757,17197.0,4.775297686023584,0.3228537267103209,470.8009374141693
1e-05,18,p8,"K_ads,4",72458.68288603259,124119.0,-0.4162160274733716,0.3228537267103209,470.8009374141693
1e-05,18,p9,Inhibition / adsorption,143355.18170698028,98084.0,0.4615552149889919,0.3228537267103209,470.8009374141693
1e-06,18,p1,A1,98625.6212288371,15672.02,5.293102052501024,0.321501917921382,878.3310236930847
1e-06,18,p2,E1,18.456377369331953,3453.38,-0.994655561400908,0.321501917921382,878.3310236930847
1e-06,18,p3,"K_ads,1",73.16134381194905,30.836,1.3725951424292728,0.321501917921382,878.3310236930847
1e-06,18,p4,"K_ads,2",387.6397125818629,558.532,-0.30596686925393196,0.321501917921382,878.3310236930847
1e-06,18,p5,A2,0.10000215879391046,0.7439,-0.8655704277538506,0.321501917921382,878.3310236930847
1e-06,18,p6,E2,135205.8194640518,40000.0,2.380145486601295,0.321501917921382,878.3310236930847
1e-06,18,p7,"K_ads,3",99472.3930681771,17197.0,4.784287554118573,0.321501917921382,878.3310236930847
1e-06,18,p8,"K_ads,4",72840.03036439077,124119.0,-0.4131435931292488,0.321501917921382,878.3310236930847
1e-06,18,p9,Inhibition / adsorption,142852.79693122592,98084.0,0.45643322999904085,0.321501917921382,878.3310236930847
1e-07,18,p1,A1,98625.62225699725,15672.02,5.29310211810585,0.32247153380834964,849.2650780677795
1e-07,18,p2,E1,16.462804606332924,3453.38,-0.9952328430099401,0.32247153380834964,849.2650780677795
1e-07,18,p3,"K_ads,1",73.1559403543717,30.836,1.3724199103117039,0.32247153380834964,849.2650780677795
1e-07,18,p4,"K_ads,2",387.6897845587676,558.532,-0.3058772200003445,0.32247153380834964,849.2650780677795
1e-07,18,p5,A2,0.10000215858936343,0.7439,-0.8655704280288165,0.32247153380834964,849.2650780677795
1e-07,18,p6,E2,134086.7256747627,40000.0,2.352168141869068,0.32247153380834964,849.2650780677795
1e-07,18,p7,"K_ads,3",99103.82056293655,17197.0,4.762855181888501,0.32247153380834964,849.2650780677795
1e-07,18,p8,"K_ads,4",72465.88539045157,124119.0,-0.4161579984494592,0.32247153380834964,849.2650780677795
1e-07,18,p9,Inhibition / adsorption,143232.11777575122,98084.0,0.46030053602780496,0.32247153380834964,849.2650780677795
1e-05,19,p1,A1,98627.53301671728,15672.02,5.293224039831322,0.29312404746875453,958.3173675537109
1e-05,19,p2,E1,9860.796960583222,3453.38,1.8554045487560655,0.29312404746875453,958.3173675537109
1e-05,19,p3,"K_ads,1",67.8335591619718,30.836,1.1998170697227855,0.29312404746875453,958.3173675537109
1e-05,19,p4,"K_ads,2",424.1823284748406,558.532,-0.24054068795549666,0.29312404746875453,958.3173675537109
1e-05,19,p5,A2,0.10000151270533539,0.7439,-0.865571296269209,0.29312404746875453,958.3173675537109
1e-05,19,p6,E2,149149.28569391667,40000.0,2.7287321423479165,0.29312404746875453,958.3173675537109
1e-05,19,p7,"K_ads,3",105048.21512050458,17197.0,5.108519806972413,0.29312404746875453,958.3173675537109
1e-05,19,p8,"K_ads,4",82034.10636603089,124119.0,-0.3390689067263603,0.29312404746875453,958.3173675537109
1e-05,19,p9,Inhibition / adsorption,138706.25204099968,98084.0,0.41415778354267446,0.29312404746875453,958.3173675537109
